gX,gZ,gY,aX,aZ,aY,p1,p2,p3
-61.01,-17.73,4.49,-0.18,0.10,0.59,598,2254,607
-56.61,-13.35,-2.47,-0.19,0.12,0.61,599,2256,605
-45.07,3.66,-29.75,-0.15,0.26,0.67,599,2254,607
-43.42,7.14,-34.73,-0.04,0.27,0.70,599,2253,606
-42.58,9.47,-32.23,0.07,0.28,0.74,607,2250,607
-43.03,11.03,-29.35,0.07,0.30,0.81,602,2253,607
-44.35,11.49,-31.48,0.03,0.31,0.86,598,2254,607
-46.35,12.05,-31.46,0.06,0.38,0.91,601,2255,609
-49.41,12.22,-29.83,0.11,0.39,0.95,602,2252,608
-72.99,8.24,-22.77,0.12,0.42,1.06,601,2253,608
-78.12,7.29,-21.84,0.10,0.39,1.08,605,2252,609
-83.22,5.84,-19.29,0.17,0.44,1.08,602,2251,604
-21.41,30.16,20.52,0.16,0.94,0.28,621,2220,1091
-26.12,30.77,22.75,0.19,0.93,0.26,617,2221,1091
-30.46,31.38,24.61,0.17,0.91,0.25,620,2218,1093
-34.57,30.37,20.87,0.00,0.82,0.24,620,2222,1089
-38.60,30.99,27.50,0.25,0.97,0.30,621,2221,1094
-42.84,32.59,37.56,0.30,0.98,0.16,615,2220,1091
-45.62,33.12,43.13,0.27,1.05,0.21,618,2221,1091
-54.31,26.76,68.80,0.25,0.94,0.18,619,2219,1091
-54.87,24.65,68.16,0.18,0.96,0.16,618,2222,1093
-55.38,23.64,71.30,0.19,0.95,0.11,620,2221,1093
-56.05,20.68,76.68,0.18,0.96,0.17,617,2221,1090
-57.83,18.50,78.89,0.25,0.96,0.10,615,2223,1093
-57.97,16.82,77.32,0.02,0.90,0.09,611,2218,1095
-59.22,14.77,74.69,0.08,0.93,0.10,610,2224,1091
-48.93,17.55,60.66,-0.14,1.00,-0.04,611,2222,1093
-43.27,19.72,58.66,-0.12,1.05,-0.14,609,2219,1089
-37.90,20.94,51.24,-0.31,0.95,-0.12,607,2215,1090
-39.36,24.79,38.43,-0.30,0.98,-0.09,608,2221,1091
-38.90,28.56,29.76,-0.27,0.99,-0.05,608,2224,1093
-36.45,32.21,23.65,-0.30,1.00,-0.07,607,2218,1092
-39.06,38.62,10.28,-0.13,0.98,0.17,608,2222,1090
-41.03,42.76,18.77,0.00,1.03,0.22,608,2223,1089
-49.48,43.84,29.01,0.05,0.97,0.35,607,2219,1090
-53.30,42.82,40.61,0.11,1.07,0.35,606,2222,1072
-61.51,40.83,42.74,-0.02,1.01,0.44,607,2202,1090
-69.85,38.63,47.64,0.05,1.02,0.43,605,2222,1090
-71.18,36.05,51.73,0.04,1.24,0.18,608,2217,1091
-106.40,28.89,27.42,-0.43,1.03,0.34,606,2208,1079
-116.95,25.08,27.19,0.19,1.02,0.49,605,2192,1071
-121.51,27.06,49.56,0.47,1.08,0.15,606,2190,1057
-112.83,38.83,60.87,0.24,0.94,0.04,607,2183,1040
-107.10,39.75,30.69,-0.20,0.98,0.09,597,2172,1012
-104.83,38.50,11.65,-0.18,0.98,-0.04,605,2160,1001
-110.02,42.22,33.10,-0.32,0.77,0.07,605,2085,923
-123.67,40.95,25.90,0.08,0.81,0.40,606,2066,912
-157.01,30.73,40.23,0.16,1.07,0.78,608,2056,895
-162.95,26.37,40.49,0.08,0.93,0.55,613,2035,880
-159.03,34.94,29.68,0.21,0.68,0.07,608,2019,865
-167.79,39.76,39.52,-0.03,0.81,0.49,606,2006,855
-170.48,39.28,47.15,0.33,1.16,0.28,606,1989,845
-220.99,33.84,44.75,-0.12,0.77,0.18,605,1937,784
-220.22,30.57,60.60,0.22,0.82,-0.03,606,1931,765
-222.16,25.47,81.48,0.25,0.91,-0.02,603,1920,747
-220.37,19.58,88.89,-0.12,0.87,-0.09,597,1920,733
-230.25,14.13,73.07,-0.56,0.88,-0.03,596,1913,722
-234.14,10.56,62.39,-0.29,0.87,-0.19,599,1913,710
-183.79,18.33,31.96,-0.49,0.84,-0.61,597,1894,688
-177.28,18.47,16.63,-0.26,0.81,-0.51,597,1895,681
-165.94,18.40,15.35,-0.14,0.79,-0.59,597,1895,673
-150.90,16.22,15.97,-0.12,0.81,-0.66,595,1895,663
-137.77,11.41,7.12,-0.33,0.75,-0.61,595,1894,661
-124.41,4.85,-10.06,-0.46,0.82,-0.64,592,1891,656
-62.05,-35.87,-71.57,-0.26,0.94,-0.86,595,1893,655
-47.32,-46.05,-74.41,-0.31,0.95,-0.81,592,1896,653
-32.09,-56.65,-87.34,-0.40,0.97,-0.71,597,1894,654
-17.10,-67.75,-95.13,-0.33,1.00,-0.75,595,1897,649
-2.78,-76.27,-103.32,-0.35,0.98,-0.69,602,1894,650
11.08,-84.68,-102.64,-0.23,1.05,-0.70,595,1893,646
66.88,-111.50,-142.52,-0.19,0.96,-0.79,601,1895,641
76.07,-118.18,-154.09,-0.35,0.90,-0.45,599,1898,639
83.19,-125.32,-171.57,-0.24,0.89,-0.39,600,1893,636
87.63,-131.34,-172.91,-0.03,0.90,-0.34,599,1895,636
91.10,-137.87,-175.98,0.01,0.82,-0.32,599,1897,633
98.35,-139.60,-173.31,0.11,0.97,-0.35,605,1902,635
93.84,-154.54,-194.30,0.17,0.86,0.07,613,1913,619
89.95,-156.42,-192.10,0.34,0.89,0.08,615,1914,618
82.35,-157.40,-192.50,0.36,0.89,0.20,612,1911,618
75.10,-156.60,-182.36,0.42,0.94,0.24,618,1914,611
71.43,-160.28,-181.26,0.36,1.06,0.47,621,1914,610
62.39,-156.24,-185.02,0.27,0.93,0.23,618,1918,608
8.97,-145.84,-167.92,0.55,1.04,0.35,619,1937,606
-0.81,-147.47,-163.71,0.60,0.94,0.34,619,1941,607
-5.96,-147.67,-149.83,0.78,1.00,0.12,615,1951,608
-7.83,-150.47,-128.90,0.88,1.13,0.08,620,1954,611
-7.73,-154.69,-119.86,0.71,1.21,0.07,615,1966,606
-6.77,-157.78,-125.66,0.54,1.04,-0.12,618,1975,607
16.70,-164.62,-88.64,0.51,0.95,-0.34,617,2069,607
30.39,-165.69,-79.31,0.56,1.17,-0.55,618,2097,607
44.58,-167.03,-72.56,0.42,1.16,-0.62,615,2118,608
65.16,-168.56,-84.36,0.28,1.16,-0.74,615,2155,609
96.39,-167.81,-98.56,0.14,1.24,-1.05,620,2170,604
131.26,-165.21,-105.40,0.11,1.29,-1.37,619,2191,608
346.81,-157.11,-93.02,2.15,-0.24,1.45,613,2224,606
406.93,-166.19,-158.58,-1.29,0.77,-1.18,614,2224,608
449.23,-176.88,-154.91,0.82,0.97,-1.86,612,2225,607
496.12,-186.19,-107.78,0.39,1.20,-0.99,615,2224,609
497.42,-195.37,-91.39,0.26,1.25,-1.00,615,2224,610
497.42,-193.98,-138.48,-1.17,0.85,-0.43,614,2224,634
497.42,-201.05,-174.09,0.04,1.21,-0.56,611,2227,669
497.42,-205.84,-182.58,0.20,0.93,-0.58,608,2230,674
497.42,-207.49,-183.83,0.55,1.03,-0.59,609,2233,675
497.42,-207.76,-169.37,0.72,1.08,-0.58,608,2231,675
497.42,-201.20,-182.00,-0.29,0.87,-0.43,608,2233,676
497.42,-186.10,-95.98,2.15,0.97,0.82,610,2233,677
497.42,-178.48,-70.23,1.30,0.84,0.96,608,2234,677
497.42,-170.89,-42.79,1.73,0.99,1.04,608,2231,673
497.42,-160.11,-17.65,1.63,0.80,1.19,609,2229,674
497.42,-145.76,36.06,2.15,0.92,1.35,608,2229,674
497.42,-128.92,80.72,2.10,0.65,1.62,610,2229,673
411.60,-81.89,213.99,1.88,1.03,1.99,609,2246,693
357.13,-91.18,237.88,0.82,0.73,1.99,608,2251,696
313.13,-98.34,257.30,0.79,0.90,1.99,609,2256,710
