gX,gZ,gY,aX,aZ,aY,p1,p2,p3
58.58,-282.20,-202.23,0.49,-0.01,0.54,1021,1719,1835
45.37,-285.31,-210.68,0.54,-0.04,0.59,1020,1719,1834
29.39,-286.37,-217.52,0.50,-0.10,0.62,1019,1719,1833
-30.47,-295.07,-213.77,0.25,-0.24,1.28,1019,1723,1834
-46.30,-304.83,-217.89,0.64,0.05,0.85,1021,1722,1834
-63.51,-307.94,-212.78,0.61,-0.06,0.54,1019,1718,1833
-74.85,-307.82,-222.82,0.35,-0.06,0.43,1022,1719,1833
-83.94,-314.17,-237.95,-0.05,-0.26,0.73,1023,1718,1831
-133.65,-315.83,-297.05,0.76,-0.17,0.68,1019,1717,1827
-141.04,-308.92,-262.79,0.93,-0.35,0.48,1021,1722,1835
-146.55,-296.21,-215.07,1.16,-0.27,0.31,1021,1716,1837
-183.33,-299.24,-205.39,0.17,-0.31,1.47,1018,1718,1831
-207.95,-299.22,-217.37,0.25,-0.06,0.90,1021,1719,1834
-233.57,-242.29,-176.04,0.48,-0.21,0.43,1030,1719,1831
-254.06,-233.53,-175.88,0.35,-0.30,0.56,1018,1720,1834
-266.67,-228.67,-192.13,0.08,-0.21,0.34,1021,1717,1835
-276.93,-215.39,-184.17,0.40,-0.15,0.37,1017,1723,1830
-290.96,-207.34,-180.90,0.39,-0.16,0.51,1015,1721,1833
-351.86,-161.54,-121.48,0.24,-0.10,0.54,1019,1718,1831
-379.25,-159.65,-114.85,0.04,-0.06,0.50,1019,1721,1834
-338.20,-140.66,-146.18,0.23,-0.25,-0.04,1020,1719,1834
-372.73,-127.28,-113.59,0.34,0.15,0.25,1017,1721,1837
-379.11,-115.65,-100.10,0.04,0.03,0.08,1018,1717,1835
-418.99,-74.99,-86.49,-0.32,0.23,0.01,1018,1719,1832
-424.17,-66.06,-84.85,-0.40,0.18,-0.08,1034,1719,1830
-28.93,22.24,-101.07,-0.43,0.64,0.75,997,1707,1323
-38.72,22.56,-106.73,-0.38,0.64,0.83,995,1704,1319
-49.57,21.33,-109.39,-0.33,0.63,0.88,996,1710,1319
-61.27,19.94,-111.45,-0.30,0.66,0.91,997,1707,1314
-73.65,17.19,-111.51,-0.23,0.62,0.92,999,1706,1316
-85.40,15.45,-109.49,-0.24,0.63,0.88,996,1706,1313
-147.53,7.51,-145.75,-0.45,0.61,0.98,998,1710,1306
-165.07,6.72,-149.95,-0.48,0.61,0.95,996,1711,1305
-178.76,1.42,-153.74,-0.36,0.60,0.93,996,1691,1308
-194.38,-7.21,-157.81,-0.38,0.56,1.01,998,1710,1302
-211.21,-13.80,-170.20,-0.61,0.55,0.88,996,1710,1301
-225.62,-19.82,-187.36,-0.57,0.52,0.83,997,1712,1303
-230.49,-1.30,-119.88,-0.08,0.80,0.19,997,1705,1303
-231.37,-5.09,-140.70,-0.52,0.50,0.27,1001,1707,1301
-235.25,-11.56,-168.04,-0.66,0.40,0.51,998,1707,1303
-239.92,-14.89,-200.33,-0.66,0.44,0.21,998,1707,1299
-246.23,-29.88,-247.36,-1.14,0.15,0.57,998,1710,1302
-231.97,17.80,-166.94,0.71,1.24,-0.92,997,1708,1301
-229.25,23.20,-145.63,0.02,1.04,0.15,1002,1706,1305
-263.18,35.83,-175.78,-0.91,0.39,1.50,999,1706,1303
-264.27,44.72,-165.07,-0.05,0.52,0.19,997,1706,1303
-253.77,51.62,-124.76,0.33,0.80,0.25,998,1708,1303
-252.82,61.82,-99.69,0.12,0.77,0.07,995,1707,1296
-206.92,101.10,-57.11,-0.22,0.97,-0.13,995,1725,1302
-192.47,113.88,-47.40,-0.05,1.08,-0.24,1001,1702,1301
-184.03,119.48,-27.65,0.09,0.99,-0.03,995,1703,1299
-176.53,121.17,-12.87,-0.08,1.08,0.18,992,1709,1303
-185.51,133.57,4.66,0.20,1.07,0.26,994,1707,1301
-186.38,148.37,-8.12,-0.61,1.12,0.34,993,1709,1303
-136.93,199.82,38.61,-0.26,1.13,0.09,999,1709,1307
-119.86,213.97,35.16,-0.11,1.33,-0.18,995,1708,1309
-107.51,223.83,34.54,-0.17,1.18,-0.29,995,1710,1311
-90.73,232.50,43.96,-0.03,1.11,-0.33,996,1710,1310
-60.96,242.06,65.59,0.26,1.32,-0.28,998,1707,1312
-71.36,234.55,57.83,-0.17,1.59,-0.89,997,1709,1313
