gX,gZ,gY,aX,aZ,aY,p1,p2,p3
114.12,357.27,343.42,0.51,0.14,0.65,400,2032,1987
100.46,356.67,369.00,0.42,-0.01,0.76,401,2036,1987
81.79,359.68,396.22,0.48,-0.01,0.81,400,2033,1987
59.02,364.62,403.85,0.03,-0.14,0.94,400,2035,1989
-69.76,364.96,456.22,0.34,-0.14,1.23,400,2032,1988
-96.01,357.02,467.25,0.06,-0.28,1.15,402,2032,1984
-121.13,345.24,468.64,-0.04,-0.35,1.17,401,2034,1987
-149.11,332.49,462.52,-0.23,-0.41,1.05,401,2034,1987
-171.08,320.70,451.18,-0.29,-0.46,0.92,400,2035,1987
-243.45,231.97,390.72,-0.61,-0.43,0.76,400,2032,1989
-257.24,215.27,377.82,-0.47,-0.33,0.73,401,2033,1989
-263.76,200.38,362.00,-0.70,-0.26,0.48,402,2033,1991
-272.69,187.10,328.20,-1.01,-0.14,0.42,401,2037,1986
-280.93,173.71,299.67,-0.99,-0.02,0.31,402,2035,1984
-291.07,100.72,133.50,-0.98,0.38,0.02,401,2032,1987
-285.34,86.78,104.45,-0.88,0.47,-0.03,403,2032,1987
-284.03,75.88,82.80,-0.76,0.53,-0.00,402,2034,1989
-284.23,67.59,54.80,-0.75,0.54,0.04,401,2033,1983
-283.31,60.32,26.69,-0.67,0.59,0.05,401,2034,1986
-279.42,54.38,-6.88,-0.63,0.58,0.13,401,2033,1989
-269.91,20.43,-128.17,0.05,0.65,-0.04,402,2032,1987
-262.61,10.27,-145.92,0.19,0.60,-0.15,398,2034,1988
-255.54,0.06,-158.20,0.32,0.61,-0.16,400,2032,1986
-247.60,-8.20,-169.71,0.44,0.61,-0.22,399,2034,1986
-238.99,-12.86,-169.23,0.69,0.71,-0.28,391,2032,1987
-233.31,-22.89,-171.91,0.81,0.66,0.12,391,2032,1987
-214.46,-54.20,-144.84,1.04,0.76,0.11,382,2033,1989
-214.09,-63.50,-147.95,0.90,0.67,0.07,384,2032,1988
-209.86,-70.32,-142.97,0.89,0.76,-0.02,383,2033,1990
-202.41,-76.67,-144.07,0.86,0.82,-0.08,380,2032,1987
-194.56,-85.04,-138.38,0.87,0.81,-0.04,378,2034,1985
-166.59,-123.80,-119.36,0.66,0.92,-0.12,380,2038,1990
-161.07,-130.64,-121.77,0.68,0.98,0.02,377,2032,1987
-96.87,-33.12,-97.66,-0.32,0.53,0.88,580,1692,1246
-108.11,-35.85,-100.36,-0.28,0.50,0.94,579,1695,1246
