gX,gZ,gY,aX,aZ,aY,p1,p2,p3
72.23,-10.69,19.38,0.14,0.85,0.50,1226,2256,1061
79.16,-6.63,28.05,0.24,1.02,0.32,1223,2263,1058
84.67,-5.70,35.04,0.16,1.04,0.44,1225,2269,1059
79.80,-8.45,22.71,-0.15,0.90,0.73,1226,2271,1061
81.10,-13.44,26.31,0.21,1.12,0.68,1227,2272,1061
77.01,-17.93,22.46,-0.09,1.01,0.78,1222,2276,1060
73.89,-19.32,26.26,0.11,1.00,0.83,1225,2274,1060
36.55,-15.08,36.60,0.33,0.85,1.49,1210,2275,1076
10.18,-24.13,33.61,-0.19,0.30,1.43,1208,2277,1073
24.84,-18.24,13.79,-0.33,0.67,0.53,1203,2279,1078
25.22,-18.47,-2.99,-0.05,0.84,0.49,1201,2278,1078
27.94,-20.88,13.53,0.22,0.88,0.56,1200,2279,1085
25.68,-18.62,7.27,0.15,0.95,0.56,1201,2275,1088
16.67,-22.66,13.47,0.08,0.69,0.65,1200,2288,1086
14.13,-23.23,13.96,0.07,0.68,0.66,1199,2288,1087
11.48,-24.59,11.93,0.06,0.72,0.66,1200,2288,1087
7.80,-24.37,13.01,0.12,0.74,0.64,1199,2291,1085
4.72,-24.18,15.47,0.09,0.74,0.63,1198,2291,1086
2.01,-24.04,14.69,0.08,0.71,0.60,1198,2295,1086
0.47,-22.65,15.18,0.09,0.74,0.58,1196,2293,1088
-3.97,-17.98,12.89,0.08,0.77,0.53,1174,2297,1083
-5.03,-18.30,13.04,0.06,0.77,0.56,1166,2302,1087
-6.89,-17.73,11.71,0.01,0.73,0.57,1168,2299,1087
-7.53,-16.25,14.89,0.09,0.74,0.56,1166,2301,1086
-7.97,-15.55,16.51,0.01,0.73,0.56,1159,2302,1085
-8.63,-13.64,20.02,0.01,0.78,0.56,1159,2303,1086
-17.48,-11.90,9.74,-0.07,0.72,0.56,1150,2304,1087
-18.51,-11.06,7.44,-0.05,0.73,0.56,1145,2304,1088
-21.04,-11.85,7.04,-0.08,0.78,0.62,1141,2301,1084
-23.38,-10.40,1.77,-0.06,0.72,0.63,1110,2304,1083
